trt,hibr,ph,planta,altura,ps,p,zn,nit,fe,spad
sulfato,2,alcalino,3,170,224.79,254.33328,3.903552,0.11945650485436893,18.591027840000002,8.12
sulfato,2,alcalino,4,140,66.79,260.1536688,2.59550064,0.13885730994152048,25.109959680000003,8.62
sulfato,2,alcalino,5,200,131.78,261.9644832,2.95176,0.11427882352941178,23.2387848,13.6
sulfato,2,alcalino,6,191,83.2,NA,NA,NA,NA,NA
sulfato,2,alcalino,7,157,97.3,NA,NA,NA,NA,NA
sulfato,2,alcalino,8,190,139.62,NA,NA,NA,NA,NA
sulfato,2,alcalino,9,189,93.94,NA,NA,NA,NA,NA
sulfato,2,alcalino,10,149,79.9,NA,NA,NA,NA,NA
sulfato,3,neutro,1,263,376,342.60863000000006,2.2344569940000003,0.5726379545454546,25.536651360000004,17.6
sulfato,3,neutro,2,231.99999999999997,276,269.04769000000005,2.4037630000000005,0.828730153846154,19.877961570000004,22.15
sulfato,3,neutro,3,236,273.6,299.16713000000004,2.4037630000000005,0.5180388153998027,31.485530370000003,16.35
sulfato,3,neutro,4,250,286.8,253.91556750000004,2.3795516040000004,0.6659682976744186,25.826840580000002,26.9
sulfato,3,neutro,5,234,266,242.11396000000002,3.1775719590000002,0.7478970977295163,31.340435760000005,27.05
sulfato,3,neutro,6,257,281.66,NA,NA,NA,NA,NA
sulfato,3,neutro,7,280,277.38,NA,NA,NA,NA,NA
sulfato,3,neutro,8,275,284.88,NA,NA,NA,NA,NA
sulfato,3,neutro,9,280,284.2,NA,NA,NA,NA,NA
sulfato,3,neutro,10,280,289.61333333333334,NA,NA,NA,NA,NA
sulfato,3,alcalino,1,276,193.29,443.8812906,5.4685061820000005,0.43898875851996105,43.97068584,18.15
sulfato,3,alcalino,2,212,351.52,289.4272992,4.110552,0.3080489285714285,42.022617479999994,23.3
sulfato,3,alcalino,3,298,317.03,450.8386776,4.285750392,0.4102918662952646,70.9653474,27.1
sulfato,3,alcalino,4,294,288.57,460.57901939999994,4.7215799999999994,0.404741935166994,58.581198539999995,19.25
sulfato,3,alcalino,5,268,385.57,307.51650539999997,4.216176522,0.33142478281853277,51.06722058,17
