study,year,cultivar,fungic,rep,sev,yield,Yld_level,YR_class,gr_hab,sev_check
4,2012,5G830_RR,EPO_FLUX_PYRA[0.8],4,1,3143,1Low,1Low,D,30.6
4,2012,5G830_RR,EPO_FLUX_PYRA[1],1,1,3308,1Low,1Low,D,30.6
4,2012,5G830_RR,EPO_FLUX_PYRA[1],2,1,3134,1Low,1Low,D,30.6
4,2012,5G830_RR,EPO_FLUX_PYRA[1],3,0.5,3050,1Low,1Low,D,30.6
4,2012,5G830_RR,EPO_FLUX_PYRA[1],4,1,3165,1Low,1Low,D,30.6
4,2012,5G830_RR,FLUO[0.4],1,1.5,3265,1Low,1Low,D,30.6
4,2012,5G830_RR,FLUO[0.4],2,2.5,3692,1Low,1Low,D,30.6
4,2012,5G830_RR,FLUO[0.4],3,1.5,3735,1Low,1Low,D,30.6
4,2012,5G830_RR,FLUO[0.4],4,1,4163,1Low,1Low,D,30.6
4,2012,5G830_RR,PROT_TRIF[0.4],1,4,3473,1Low,1Low,D,30.6
4,2012,5G830_RR,PROT_TRIF[0.4],2,4,4148,1Low,1Low,D,30.6
4,2012,5G830_RR,PROT_TRIF[0.4],3,4,3625,1Low,1Low,D,30.6
4,2012,5G830_RR,PROT_TRIF[0.4],4,2.5,3408,1Low,1Low,D,30.6
4,2012,5G830_RR,TIOF[1],1,30,3241,1Low,1Low,D,30.6
4,2012,5G830_RR,TIOF[1],2,32.5,3135,1Low,1Low,D,30.6
4,2012,5G830_RR,TIOF[1],3,32.5,3241,1Low,1Low,D,30.6
4,2012,5G830_RR,TIOF[1],4,29,3463,1Low,1Low,D,30.6
4,2012,5G830_RR,ZZ_CHECK,1,32.5,2958,1Low,1Low,D,30.6
4,2012,5G830_RR,ZZ_CHECK,2,30,3356,1Low,1Low,D,30.6
4,2012,5G830_RR,ZZ_CHECK,3,30,3123,1Low,1Low,D,30.6
4,2012,5G830_RR,ZZ_CHECK,4,30,3951,1Low,1Low,D,30.6
6,2012,BMX_Potencia_RR,CZM[1],1,20,4050,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM[1],2,20,4146,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM[1],3,20,4428,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM[1],4,20,4314,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM[1],5,20,4398,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM_CM_TEBU[1],1,15,4926,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM_CM_TEBU[1],2,15,3924,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM_CM_TEBU[1],3,15,4086,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM_CM_TEBU[1],4,20,4536,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM_CM_TEBU[1],5,10,3996,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM+LS[1+0.5],1,20,3852,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM+LS[1+0.5],2,20,3558,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM+LS[1+0.5],3,25,4230,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM+LS[1+0.5],4,20,3726,2High,1Low,I,27
6,2012,BMX_Potencia_RR,CZM+LS[1+0.5],5,15,3408,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[0.8],1,4,4308,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[0.8],2,3,3894,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[0.8],3,5,3846,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[0.8],4,5,3936,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[0.8],5,4,4464,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[1],1,5,4170,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[1],2,5,4248,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[1],3,5,3984,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[1],4,5,4056,2High,1Low,I,27
6,2012,BMX_Potencia_RR,EPO_FLUX_PYRA[1],5,20,3978,2High,1Low,I,27
6,2012,BMX_Potencia_RR,FLUO[0.4],1,10,4680,2High,1Low,I,27
6,2012,BMX_Potencia_RR,FLUO[0.4],2,10,3888,2High,1Low,I,27
6,2012,BMX_Potencia_RR,FLUO[0.4],3,8,5094,2High,1Low,I,27
6,2012,BMX_Potencia_RR,FLUO[0.4],4,15,4734,2High,1Low,I,27
6,2012,BMX_Potencia_RR,FLUO[0.4],5,15,4536,2High,1Low,I,27
6,2012,BMX_Potencia_RR,PROT_TRIF[0.4],1,15,3534,2High,1Low,I,27
